rule,value,n_node_samples,path_len
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 <= -0.166710 AND f4 <= 2.030314 AND f8 > -0.439802 AND f1 > 0.880346 AND f13 > 0.401399 AND f1 <= 1.537053 AND f13 <= 0.406779 AND f1 <= 1.150534 AND f11 <= 0.957248 AND f0 <= 1.181794 AND f2 <= -0.202461 AND f7 <= 0.205089 AND f3 > 0.423114 AND f7 > 0.199103 AND f3 <= 1.450978 AND f2 <= -0.481003,61.5,3,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 > -0.166710 AND f1 <= 1.871036 AND f13 > 0.391457 AND f14 <= -0.149109 AND f8 > -0.439802 AND f4 <= 1.547298 AND f0 <= 1.850318 AND f9 > -1.227614 AND f13 <= 0.415356 AND f1 > 0.720860 AND f6 > -0.023885 AND f8 > -0.294589 AND f10 <= 1.522678 AND f13 <= 0.412324 AND f1 <= 0.929130 AND f2 > -0.859584,56.07142857142857,3,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 > -0.166710 AND f1 <= 1.871036 AND f13 > 0.391457 AND f14 > -0.149109 AND f13 <= 0.418185 AND f4 > 0.624724 AND f13 > 0.404428 AND f2 > -1.244050 AND f0 > 0.965100 AND f13 <= 0.412256 AND f0 <= 1.654371 AND f14 <= -0.123758 AND f1 > 1.193689 AND f14 > -0.144699 AND f14 <= -0.127642 AND f8 <= -0.294589,56.2,3,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 <= 0.190982 AND f1 > -1.571988 AND f2 > 0.614656 AND f3 <= -1.262290 AND f6 > -2.592262 AND f1 <= -1.149819 AND f2 <= 1.843446 AND f4 > -1.669916 AND f7 > 0.182766 AND f0 > -1.607564 AND f2 <= 1.041168 AND f1 > -1.511947 AND f2 <= 0.984283 AND f14 > -0.283209 AND f8 <= 0.576690 AND f5 <= -0.025673 AND f4 > -1.220425 AND f1 <= -1.320563,45.57142857142857,3,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 <= 0.190982 AND f1 > -1.571988 AND f2 > 0.614656 AND f3 <= -1.262290 AND f6 > -2.592262 AND f1 <= -1.149819 AND f2 <= 1.843446 AND f4 > -1.669916 AND f7 > 0.182766 AND f0 > -1.607564 AND f2 > 1.041168 AND f14 <= -0.268894 AND f5 <= -0.124535 AND f11 <= 0.031238 AND f13 <= 0.391667 AND f9 > -0.731350 AND f5 <= -0.169896 AND f6 > 0.261490,47.333333333333336,3,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 > -0.288834 AND f1 > -0.892765 AND f13 <= 0.401985 AND f14 <= -0.153754 AND f1 <= -0.378657 AND f3 > -1.023184 AND f1 <= -0.690124 AND f3 <= -0.187772 AND f7 <= 0.207542 AND f0 > -1.217976 AND f3 <= -0.279623 AND f5 <= 0.603557 AND f5 <= 0.338373 AND f13 <= 0.391566 AND f5 > 0.210434 AND f5 <= 0.287198 AND f4 > -1.257676,33.7,3,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 <= -0.262128 AND f1 > -1.176087 AND f1 <= -0.703258 AND f5 <= 0.173215 AND f1 <= -0.847734 AND f13 <= 0.391113 AND f8 <= 0.939723 AND f7 > 0.196050 AND f5 > 0.080168 AND f9 <= 0.509312 AND f0 <= -0.519484,41.5,3,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 <= -0.262128 AND f1 > -1.176087 AND f1 <= -0.703258 AND f5 <= 0.173215 AND f1 <= -0.847734 AND f13 > 0.391113 AND f3 <= -0.504150 AND f9 > -0.235085 AND f3 > -0.782620 AND f3 > -0.667441 AND f8 > -1.238475,40.166666666666664,3,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 > -0.262128 AND f6 <= 0.337002 AND f13 <= 0.395210 AND f1 > -0.825218 AND f8 <= 1.447969 AND f7 <= 0.215359 AND f5 > 0.309296 AND f1 > -0.740784 AND f1 <= -0.568164 AND f10 > 0.063462 AND f7 <= 0.211382,26.666666666666668,3,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 > -0.262128 AND f6 > 0.337002 AND f5 > 0.072026 AND f4 > -0.982021 AND f0 <= -0.623220 AND f13 <= 0.395114 AND f4 > -0.850402 AND f5 <= 0.169726 AND f1 > -1.200480 AND f8 > -1.311082 AND f3 > -0.018648,28.499999999999993,3,20
